Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference","Potassium, K","Calcium, Ca","Magnesium, Mg"
"Pasta, homemade, made with egg, cooked",130.0,5.28,1.74,23.5,21.0,10.0,14.0
"Pasta, homemade, made without egg, cooked",124.0,4.37,0.98,25.1,19.0,6.0,14.0
"Pasta, whole-wheat, cooked (Includes foods for USDA's Food Distribution Program)",149.0,5.99,1.71,30.1,96.0,13.0,54.0
"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",352.0,13.9,2.93,73.4,434.0,29.0,128.0
"Quinoa, cooked",120.0,4.4,1.92,21.3,172.0,17.0,64.0
"Quinoa, uncooked",368.0,14.1,6.07,64.2,563.0,47.0,197.0
"Rice bran, crude",316.0,13.4,20.8,49.7,1480.0,57.0,781.0
"Rice flour, brown",363.0,7.23,2.78,76.5,289.0,11.0,112.0
"Rice flour, white, unenriched",366.0,5.95,1.42,80.1,76.0,10.0,35.0
"Rice noodles, cooked",108.0,1.79,0.2,24.0,4.0,4.0,3.0
"Rice noodles, dry",364.0,5.95,0.56,80.2,30.0,18.0,12.0
"Rice, brown, parboiled, cooked, UNCLE BENS",147.0,3.09,0.85,31.3,61.0,3.0,39.0
"Rice, brown, parboiled, dry, UNCLE BEN'S",370.0,7.6,2.75,78.7,219.0,8.0,98.0
"Rice, white, glutinous, unenriched, cooked",97.0,2.02,0.19,21.1,10.0,2.0,5.0
"Rice, white, glutinous, unenriched, uncooked",370.0,6.81,0.55,81.7,77.0,11.0,23.0
"Rye flour, dark",325.0,15.9,2.22,68.6,717.0,37.0,160.0
"Rye flour, light",357.0,9.82,1.33,76.7,224.0,13.0,32.0
"Rye flour, medium",349.0,10.9,1.52,75.4,374.0,24.0,63.0
"Semolina, enriched",360.0,12.7,1.05,72.8,186.0,17.0,47.0
"Semolina, unenriched",360.0,12.7,1.05,72.8,186.0,17.0,47.0
"Sorghum flour, refined, unenriched",357.0,9.53,1.24,76.8,145.0,6.0,31.0
"Spaghetti, protein-fortified, cooked, enriched (n x 6.25)",164.0,8.86,0.21,30.9,42.0,10.0,30.0
"Spaghetti, protein-fortified, dry, enriched (n x 6.25)",374.0,21.8,2.23,65.6,201.0,39.0,65.0
"Spaghetti, spinach, cooked",130.0,4.58,0.63,26.2,58.0,30.0,62.0
"Spaghetti, spinach, dry",372.0,13.4,1.57,74.8,376.0,58.0,174.0
"Spelt, cooked",127.0,5.5,0.85,26.4,143.0,10.0,49.0
"Spelt, uncooked",338.0,14.6,2.43,70.2,388.0,27.0,136.0
"Tapioca, pearl, dry",358.0,0.19,0.02,88.7,11.0,20.0,1.0
"Teff, cooked",101.0,3.87,0.65,19.9,107.0,49.0,50.0
"Teff, uncooked",367.0,13.3,2.38,73.1,427.0,180.0,184.0
Triticale,336.0,13.0,2.09,72.1,332.0,37.0,130.0
Vital wheat gluten,370.0,75.2,1.85,13.8,100.0,142.0,25.0
"Wheat bran, crude",216.0,15.6,4.25,64.5,1180.0,73.0,611.0
"Wheat flour, white (industrial), 10% protein, bleached, enriched",366.0,9.71,1.48,76.2,149.0,20.0,25.0
"Wheat flour, white (industrial), 10% protein, bleached, unenriched",366.0,9.71,1.48,76.2,149.0,20.0,25.0
"Wheat flour, white (industrial), 10% protein, unbleached, enriched",366.0,9.71,1.48,76.2,149.0,20.0,25.0
"Wheat flour, white (industrial), 11.5% protein, bleached, enriched",363.0,11.5,1.45,73.8,138.0,20.0,30.0
"Wheat flour, white (industrial), 11.5% protein, bleached, unenriched",363.0,11.5,1.45,73.8,138.0,20.0,30.0
"Wheat flour, white (industrial), 11.5% protein, unbleached, enriched",363.0,11.5,1.45,73.8,138.0,20.0,30.0
"Wheat flour, white (industrial), 13% protein, bleached, enriched",362.0,13.1,1.38,72.2,128.0,24.0,35.0
"Wheat flour, white (industrial), 13% protein, bleached, unenriched",362.0,13.1,1.38,72.2,128.0,24.0,35.0
"Wheat flour, white (industrial), 15% protein, bleached, enriched",362.0,15.3,1.41,69.9,120.0,17.0,38.0
"Wheat flour, white (industrial), 15% protein, bleached, unenriched",362.0,15.3,1.41,69.9,120.0,17.0,38.0
"Wheat flour, white (industrial), 9% protein, bleached, enriched",367.0,8.89,1.43,77.3,131.0,20.0,20.0
"Wheat flour, white (industrial), 9% protein, bleached, unenriched",367.0,8.89,1.43,77.3,131.0,20.0,20.0
"Wheat flour, white, all-purpose, enriched, bleached",364.0,10.3,0.98,76.3,107.0,15.0,22.0
"Wheat flour, white, all-purpose, enriched, calcium-fortified",364.0,10.3,0.98,76.3,107.0,252.0,22.0
"Wheat flour, white, all-purpose, enriched, unbleached",364.0,10.3,0.98,76.3,107.0,15.0,22.0
"Wheat flour, white, all-purpose, self-rising, enriched",354.0,9.89,0.97,74.2,124.0,338.0,19.0
"Wheat flour, white, all-purpose, unenriched",364.0,10.3,0.98,76.3,107.0,15.0,22.0
"Wheat flour, white, bread, enriched",361.0,12.0,1.66,72.5,100.0,15.0,25.0
"Wheat flour, white, cake, enriched",362.0,8.2,0.86,78.0,105.0,14.0,16.0
"Wheat flour, white, tortilla mix, enriched",405.0,9.66,10.6,67.1,100.0,205.0,21.0
"Wheat flours, bread, unenriched",361.0,12.0,1.66,72.5,100.0,15.0,25.0
"Wheat germ, crude",360.0,23.2,9.72,51.8,892.0,39.0,239.0
"Wheat, durum",339.0,13.7,2.47,71.1,431.0,34.0,144.0
"Wheat, hard red spring",329.0,15.4,1.92,68.0,340.0,25.0,124.0
"Wheat, hard red winter",327.0,12.6,1.54,71.2,363.0,29.0,126.0
"Wheat, hard white",342.0,11.3,1.71,75.9,432.0,32.0,93.0
"Wheat, KAMUT khorasan, cooked",132.0,5.71,0.83,27.6,164.0,9.0,48.0
"Wheat, KAMUT khorasan, uncooked",337.0,14.5,2.13,70.6,403.0,22.0,130.0
"Wheat, soft red winter",331.0,10.4,1.56,74.2,397.0,27.0,126.0
"Wheat, soft white",340.0,10.7,1.99,75.4,435.0,34.0,90.0
"Wheat, sprouted",198.0,7.49,1.27,42.5,169.0,28.0,82.0
"Wild rice, cooked",101.0,3.99,0.34,21.3,101.0,3.0,32.0
"Wild rice, raw",357.0,14.7,1.08,74.9,427.0,21.0,177.0
