,Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference",Water,Ash,"Fiber, total dietary","Potassium, K","Magnesium, Mg","Sodium, Na",Category
736,"Radishes, white icicle, raw",14.0,1.1,0.1,2.63,95.4,0.8,1.4,280.0,9.0,16.0,vegetable
737,"Rutabagas, cooked, boiled, drained, with salt",30.0,0.93,0.18,6.84,91.5,0.51,1.8,216.0,10.0,254.0,vegetable
738,"Rutabagas, cooked, boiled, drained, without salt",30.0,0.93,0.18,6.84,91.5,0.51,1.8,216.0,10.0,5.0,vegetable
739,"Rutabagas, raw",37.0,1.08,0.16,8.62,89.4,0.71,2.3,305.0,20.0,12.0,vegetable
740,"Salsify, cooked, boiled, drained, with salt",68.0,2.73,0.17,15.4,81.0,0.74,3.1,283.0,18.0,252.0,vegetable
741,"Salsify, cooked, boiled, drained, without salt",68.0,2.73,0.17,15.4,81.0,0.74,3.1,283.0,18.0,16.0,vegetable
744,"Seaweed, agar, raw",26.0,0.54,0.03,6.75,91.3,1.36,0.5,226.0,67.0,9.0,vegetable
747,"Seaweed, irishmoss, raw",49.0,1.51,0.16,12.3,81.3,4.7,1.3,63.0,144.0,67.0,vegetable
748,"Seaweed, kelp, raw",43.0,1.68,0.56,9.57,81.6,6.61,1.3,89.0,121.0,233.0,vegetable
749,"Seaweed, laver, raw",35.0,5.81,0.28,5.11,85.0,3.77,0.3,356.0,2.0,48.0,vegetable
751,"Seaweed, spirulina, raw",26.0,5.92,0.39,2.42,90.7,0.6,0.4,127.0,19.0,98.0,vegetable
752,"Seaweed, wakame, raw",45.0,3.03,0.64,9.14,80.0,7.2,0.5,50.0,107.0,872.0,vegetable
753,"Sesbania flower, cooked, steamed, with salt",21.0,1.14,0.05,5.1,93.3,0.41,,107.0,12.0,247.0,vegetable
754,"Sesbania flower, cooked, steamed, without salt",22.0,1.14,0.05,5.23,93.3,0.28,,107.0,12.0,11.0,vegetable
755,"Sesbania flower, raw",27.0,1.28,0.04,6.73,91.6,0.38,,184.0,12.0,15.0,vegetable
757,"Shallots, raw",72.0,2.5,0.1,16.8,79.8,0.8,3.2,334.0,21.0,12.0,vegetable
758,"Soybeans, green, cooked, boiled, drained, with salt",141.0,12.4,6.4,11.0,68.6,1.6,4.2,539.0,60.0,250.0,vegetable
759,"Soybeans, green, cooked, boiled, drained, without salt",141.0,12.4,6.4,11.0,68.6,1.6,4.2,539.0,60.0,14.0,vegetable
760,"Soybeans, green, raw",147.0,13.0,6.8,11.0,67.5,1.7,4.2,620.0,65.0,15.0,vegetable
761,"Soybeans, mature seeds, sprouted, cooked, steamed",81.0,8.47,4.45,6.53,79.4,1.1,0.8,355.0,60.0,10.0,vegetable
762,"Soybeans, mature seeds, sprouted, cooked, steamed, with salt",81.0,8.47,4.45,6.53,79.4,1.1,0.8,355.0,60.0,246.0,vegetable
763,"Soybeans, mature seeds, sprouted, cooked, stir-fried",125.0,13.1,7.1,9.4,67.2,3.2,0.8,567.0,96.0,14.0,vegetable
764,"Soybeans, mature seeds, sprouted, cooked, stir-fried, with salt",125.0,13.1,7.1,9.4,67.2,3.2,0.8,567.0,96.0,250.0,vegetable
765,"Soybeans, mature seeds, sprouted, raw",122.0,13.1,6.7,9.57,69.0,1.59,1.1,484.0,72.0,14.0,vegetable
770,"Spinach, cooked, boiled, drained, with salt",23.0,2.97,0.26,3.75,91.2,1.81,2.4,466.0,87.0,306.0,vegetable
771,"Spinach, cooked, boiled, drained, without salt",23.0,2.97,0.26,3.75,91.2,1.81,2.4,466.0,87.0,70.0,vegetable
772,"Spinach, frozen, chopped or leaf, cooked, boiled, drained, with salt",34.0,4.01,0.87,4.8,88.9,1.39,3.7,302.0,82.0,322.0,vegetable
